subject_candidacy_id,prior_candidacy_id,sol_disposition,identity_bridge,evidence_urls,rationale
can_d4c1bd7d367e520b8bbc362ec0f3fc2c,can_d6cdbb1bc2585b309b7c29d27af6aaf1,retain_hold,"The current domain is attributable to the 2026 filer but its Ward 23 language describes current trustee boundaries and does not claim the 2018 council run.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://dameonhalstead.ca/donate/|https://secure.toronto.ca/EFD/jsf/candidate2018/candidate_campaign_status.xhtml?campaign=15|https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf","No qualifying bridge was found from the official 2018 occurrence to the certified 2026 candidate."
can_b224bbdcb6f75bf9ab2e818f00be2435,can_3ca80978d9535423bf560a3d358dcc39,retain_hold,"Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf","No qualifying bridge was found; the exact name and coherent historical sequence are insufficient."
can_b224bbdcb6f75bf9ab2e818f00be2435,can_8b84d6731cfd5c1f9985c1ad66b9b811,retain_hold,"Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf","No qualifying bridge was found; the exact name and coherent historical sequence are insufficient."
can_b224bbdcb6f75bf9ab2e818f00be2435,can_3b055889396b5c4197691d7355fa6e85,retain_hold,"Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf","No qualifying bridge was found; the exact name and coherent historical sequence are insufficient."
can_b224bbdcb6f75bf9ab2e818f00be2435,can_ecb9c751999855838847c6ea154a5f85,retain_hold,"Official results establish the historical Ward 8 candidate but no reliable source links that person to the 2026 Ward 6 filer.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf","No qualifying bridge was found; the unofficial directory's automatic history is not sufficient."
can_c43ef763892b58168e61705d887e1c97,can_d765e48c4f6a5b399272d9cd2691409a,upgrade_to_confirm,"The Ontario Liberal nomination biography and The Local explicitly identify the Humber River—Black Creek provincial candidate as the incumbent TCDSB trustee.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://assets.tcdsb.org/TCDSB/5771356/tcdsb-budget-estimates-report-2025-2026.pdf|https://ontarioliberal.ca/humber-river-black-creek-nomination/|https://thelocal.to/ward-7-humber-river-black-creek/|https://www.elections.on.ca/content/dam/NGW/sitecontent/2022/results/Vote%20Totals%20From%20Official%20Tabulation%20-%20Humber%20River%E2%80%94Black%20Creek%20041.pdf","The new party and reputable-news biographies supply the explicit cross-office bridge missing from the earlier reviews."
can_ebe410d080165a28b82f117b6af06140,can_79d8d5cb8dae562eb7600a786290d421,upgrade_to_confirm,"The current City filing and 2025 questionnaire share Golding's domain and email; the questionnaire explicitly calls Ward 11 his first council run.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://nsscouncil.com/wp-content/uploads/2025/01/Adam-Golding-Responses.pdf|https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf","Shared candidate-controlled identifiers bridge the certified filer to the questionnaire and its explicit claim of the 2022 occurrence."
can_ebe410d080165a28b82f117b6af06140,can_ecef6b05aa3f5e97a46a1c8b2dc85b29,upgrade_to_confirm,"The official current filing and the dated 2025 trustee questionnaire use the same adamgolding.ca domain and campaign email.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://nsscouncil.com/wp-content/uploads/2025/01/Adam-Golding-Responses.pdf|https://www.tdsb.on.ca/Leadership/Agendas-Minutes-Decisions/Type/M/Year/2025?Filename=250416.pdf|https://adamgolding.ca/","The stable candidate-controlled contact identifiers directly connect the 2025 by-election candidate to the certified 2026 filer."
can_ebe410d080165a28b82f117b6af06140,can_695eb83e3d4450eba058d5e27bd73534,upgrade_to_confirm,"The City-attributed current domain identifies Golding as a University-Rosedale politician and federal sources connect that political identity and teaching occupation to the 2025 result.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://adamgolding.ca/|https://www.elections.ca/Scripts/vis/PastResults?ED=35112&EV=99&EV_TYPE=6&L=e&MAPID=35052&PAGEID=28&QID=-1|https://en.wikipedia.org/wiki/By-elections_to_the_45th_Canadian_Parliament","The candidate-controlled domain corroborated by the official City filing and federal sources supplies a qualifying bridge rather than a social-profile-only match."
can_d6ebf240b3f35a67acc9e1ffc80d4ddf,can_7752ea624d635ba183ddb3d3df71652e,retain_hold,"Later TDSB and Ward 9 activity is compatible but no source says the certified 2026 candidate was the 2010 Ward 9 candidate.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf|https://www.tdsb.on.ca/Portals/0/CommitteesMeetings/47414/2025-12-16/PIAC%20Membership%20WG%20Report%202025.12.16%20EA.pdf","No qualifying bridge was found for the 2010 occurrence; name and later community activity are insufficient."
