subject_candidacy_id,prior_candidacy_id,sol_disposition,identity_bridge,evidence_urls,rationale
"can_62de67b8b5ec5d119f07221a40f6132a","can_2b781d644edf51d3b5210f32acb60c77","retain_hold","No source explicitly links the 2022 Ward 9 candidate to the certified 2026 Ward 9 filer.","https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en|https://thelocal.to/ward-10-spadina-fort-york/|https://tcdsbpublishing.escribemeetings.com/FileStream.ashx?DocumentId=32333|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The 2022 result, occupation, 2024 board engagement, and current filing are preserved, but Sol found no qualifying identity bridge beyond the uncommon name and recurring TCDSB context."
"can_7aab9acba89353a7a68beeb8345c4884","can_569b3978bc4e54f5a9f25776afb05ed6","retain_hold","No current biography, contact, or prior-run statement joins the two trustee occurrences.","https://secure.toronto.ca/EFD/jsf/candidate2018/candidate_campaign_status.xhtml?campaign=15|https://www.ontario.ca/orders-in-council/oc-8552018|https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The 2018 candidacy and a Toronto public appointment remain verified, but no qualifying bridge to the 2026 Ward 11 filing was found."
"can_7a668b3b98d35daa915ae28fc4204ae2","can_974620e118d459a9a5f60371cbfaf286","retain_hold","The Local joins the historical council chain, not that chain to the 2026 trustee filing.","https://thelocal.to/scarborough-southwest-by-election-candidates-2023-city-council/|https://www.toronto.ca/wp-content/uploads/2017/08/9783-election-2010-clerksofficialdeclaration.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","Sol found no qualifying current-to-prior bridge; the only explicit 2026 history match is in an unofficial directory and contemporaneous office listings were inconsistent."
"can_7a668b3b98d35daa915ae28fc4204ae2","can_d8fd23b509175a1080507d3ad0c821ef","retain_hold","The Local joins the historical council chain, not that chain to the 2026 trustee filing.","https://thelocal.to/scarborough-southwest-by-election-candidates-2023-city-council/|https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The 2022 council occurrence is securely linked to 2010 and 2023, but no qualifying source connects it to the certified 2026 trustee candidate."
"can_7a668b3b98d35daa915ae28fc4204ae2","can_99bdda3c83d358cdba248a2411c0b039","retain_hold","The Local joins the historical council chain, not that chain to the 2026 trustee filing.","https://thelocal.to/scarborough-southwest-by-election-candidates-2023-city-council/|https://www.toronto.ca/wp-content/uploads/2023/12/94c0-Declaration-of-Results-for-the-Councillor-Ward-20-ByElection-Final.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The 2023 candidate profile is a strong historical bridge, but Sol found no qualifying source that identifies the certified 2026 trustee filer as that council candidate."
"can_990783c8b1b75211892caa7a4326511e","can_1af27012921e50af8bcd4a4f78e81d25","retain_hold","No source links the federal candidate biography to the current trustee filing.","https://beachmetro.com/2025/04/15/federal-election-beaches-east-york-conservative-candidate-jocelyne-poirier-answers-our-questions/|https://www.elections.ca/Scripts/vis/PastResults?ED=35007&EV=65&EV_TYPE=6&L=e&PAGEID=28&PROV=ON&QID=-1|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","A current news candidate list added no biography or prior-run statement, so no qualifying bridge beyond same name and east-Toronto geography was found."
"can_5f7f158aef535d02960dc4c058b3359a","can_50547111b9bd5e489393eda15a7a6cac","retain_hold","Professional sources identify the former 2011 candidate, not the 2026 trustee filer.","https://www.peo.on.ca/about-peo/council/2019-2020-council/marisa-sterling-peng-fec|https://results.elections.on.ca/api/report-groups/3/report-outputs/499/csv|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","Sol found current engineering records and a current candidate list but no qualifying source connecting those identities; exact name alone is insufficient."
"can_607efb391571594e977ad02672037327","can_35cdc6b5a9e454dc8309a7593078020c","retain_hold","Only an unaffiliated directory explicitly matches the 2022 result to the 2026 entry.","https://thelocal.to/ward-22-scarborough-agincourt/|https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+District+School+Board&lang=en|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The official result and 2022 principal biography are preserved, but Sol found no qualifying candidate-controlled, official, institutional, or reputable-news bridge to 2026."
"can_5b869f11c2e7501e8360fe5110cb4c1e","can_9f0db0a8b2ec58159a917552d59e33ca","retain_hold","No biography or archived campaign source links the mayoral and trustee candidates.","https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","Sol found no qualifying bridge beyond the uncommon exact name; the twelve-year cross-office gap remains unresolved."
"can_50bb1753ca4b578ca50b7ae0fc5a3cb1","can_2b662dfcd78d5c699d9712ef34354e66","retain_hold","No source states that Sherri Williams used Sherri-Anne Williams on the 2014 ballot.","https://circlelandtrust.ca/ourteam/|https://www.toronto.ca/wp-content/uploads/2017/08/9059-election-2014-clerksofficialdeclarationofresults.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The current community biography and official 2014 result remain separate; no qualifying bridge resolving the middle-name difference was found."
